"成语","释义"
"方兴未艾","方：正在。兴：兴起。艾：停止，完结。指事物刚刚兴起，正在发展，还没有终止。"
"举足轻重","举：抬起，移动。脚移动一下，就会影响两边的轻重。比喻所处的地位重要，一举一动都能够左右或影响周围的局势。"
"无与伦比","伦比：同类相比。没有什么能跟它相比的。"
"脱颖而出","脱：显露。颖：指锥子的尖锋。原意是说把锥子放在布袋里，锥尖必显露于外。后比喻人的才能全部显露出来。"
"历久弥新","时间经历得越久越有新的感觉或新的感受。"
"层出不穷","层出：反复出现。一次又一次地出现，没有穷尽。"
"相提并论","并：同时。把不同的人或事物放在一起谈论或看待。"
"理所当然","当然：应该如此。从道理上说应当是这样。"
"源远流长","河流的源头很远，水流很长。"
"相得益彰","相得：互相间的配合。益：更。彰：明显。指通过彼此间的作用，更显示出双方的优点和长处。"
"不言而喻","喻：明白。用不着说就可以明白。形容道理很明显。"
"应运而生","本指顺应天命而产生。 后泛指顺应某种时机、条件、需要等而产生。"
"相辅相成","相辅：互相配合、辅助。相成：相互促成。指两者相互辅助、相互促进。"
"一成不变","指一经形成就不再改变。"
"推陈出新","扬弃旧的，创造新的。多指在文化艺术方面去掉旧的糟粕，吸取其精华，创造出新的来。"
"叹为观止","叹：赞叹。为：以为。观止：看到此处完全足够，不必再看下去了。称赞所看到的事物已好到了极点。"
"融会贯通","融会：融合。贯通：贯穿前后。把各方面的知识、道理融合贯穿起来，从而得到系统、透彻的理解。"
"大相径庭","径：门外的小道。庭：厅堂前的院子。径庭：比喻相差很远。原指从门外的小路到门内的庭院还有一段距离。后比喻相差很远，大不相同。"
"势不可挡","来势猛烈，无法抵挡。"
"休戚与共","彼此间欢乐忧愁和幸福祸患都共同承受。形容关彼此同甘共苦。"
"独一无二","只有这样一个，找不出第二个来。形容唯一的，难得的，没有相同或可以相比的。"
"有的放矢","的：箭靶。矢：箭。对准靶子放箭。比喻说话、做事有明确的目标，针对性极强。"
"凤毛麟角","凤：凤凰。麟：麒麟。凤凰的毛，麒麟的角。比喻极为珍贵而稀少的人或事物。"
"显而易见","形容事情十分明显或道理很浅显，很容易看清楚。"
"背道而驰","道：道路，方向。驰：快跑。背离正道，朝着相反的方向奔驰。比喻方向、目标等完全相反。"
"博大精深","形容理论、学识、思想等广博深奥。"
"嗤之以鼻","嗤：讥笑，表示看不起。从鼻子中发出冷笑的声音。表示轻蔑看不起。"
"水到渠成","水流到的地方自然成渠。"
"根深蒂固","蒂：花或瓜果与枝茎相连的部分。固：牢固。根扎得很深，花或瓜果的蒂柄牢牢地长在枝茎上。比喻基础扎实牢固，不易动摇。"
"经久不衰","长时间不衰退。形容某事物保持旺盛势头所持续的时间很长。"
"南辕北辙","辕：车前驾牲口的横木，引申指车头。辙：车轮碾过的痕迹，引申指道路。打算往南，车子却往北走。比喻行动和目的正好相反。"
"一脉相承","一脉：指一个血统，引申为一个派系。承：继承。由一种血统或一个派系流传承袭下来。"
"汗牛充栋","汗牛：把牛累出了汗。充：满。栋：房屋的正梁。用车搬运书时，牛累得出汗，收藏时，书堆满屋子顶到栋梁。形容藏书极多。泛指图书或作品很多。"
"一劳永逸","劳：劳苦，辛苦。逸：安逸。通过这次劳苦，可以得到永久的安逸。"
"浮光掠影","浮光：水面的反光。掠影：一掠而过的影子。水面的反光和一闪而过的影子。比喻观察粗疏不细致或学习浮泛不认真，了解不多，印象不深。"
"珠联璧合","璧：美玉。珍珠串在一起，美玉合在一起。比喻美好的人或事物聚合在一起，相得益彰。"
"毋庸置疑","用不着怀疑。指绝对真实可信。"
"振聋发聩","聩：耳聋。声音很响，连耳聋的人都能听见。形容清醒、高明的言论能唤醒麻木糊涂、是非不明的人。"
"屡见不鲜","屡：屡次，常常。鲜：新鲜，新奇。多次见到，一点也不新奇。"
